From_Currency_Code,From_Currency_Name,To_Currency_Code,To_Currency_Name,Exchange_Rate,Last_Refreshed,Time_Zone,Bid_Price,Ask_Price,EMA_Short,EMA_Long,MACD,MACD_Signal
BTC,Bitcoin,EUR,Euro,20354.08967500,2020-12-26 04:50:02,UTC,20354.08149000,20354.08967500,20347.76647769791,20341.750474225042,6.016003472868761,13.403958470734407
BTC,Bitcoin,EUR,Euro,20341.59118000,2020-12-26 04:55:03,UTC,20341.59118000,20341.59936500,20348.73927728285,20342.66448909726,6.0747881855895685,11.93812441370544
BTC,Bitcoin,EUR,Euro,20307.04229500,2020-12-26 05:00:01,UTC,20307.04229500,20307.05048000,20347.639570008567,20342.584984719684,5.054585288882663,10.561416588740885
BTC,Bitcoin,EUR,Euro,20268.43365000,2020-12-26 05:05:03,UTC,20268.42546500,20268.43365000,20341.393835391864,20339.9521928886,1.4416425032650295,8.737461771645714
BTC,Bitcoin,EUR,Euro,20285.61396500,2020-12-26 05:10:03,UTC,20285.60578000,20285.61396500,20330.169191485424,20334.654523045,-4.48533155957557,6.092903105401458
BTC,Bitcoin,EUR,Euro,20233.87658000,2020-12-26 05:15:03,UTC,20233.86839500,20233.87658000,20323.314541256896,20331.02188911574,-7.707347858842695,3.332852912552627
BTC,Bitcoin,EUR,Euro,20251.11419000,2020-12-26 05:20:01,UTC,20251.10600500,20251.11419000,20309.55485490968,20323.82594029235,-14.271085382672027,-0.1879347464923038
BTC,Bitcoin,EUR,Euro,20282.43000000,2020-12-26 05:25:03,UTC,20282.42181500,20282.43000000,20300.563983385113,20318.43988471514,-17.875901330025954,-3.7255280631990337
BTC,Bitcoin,EUR,Euro,20247.75015500,2020-12-26 05:30:03,UTC,20247.74197000,20247.75015500,20297.7741397874,20315.772485847352,-17.998346059950563,-6.58009166254934
BTC,Bitcoin,EUR,Euro,20214.52724000,2020-12-26 05:35:03,UTC,20214.51905500,20214.52724000,20290.0781421278,20310.733794673473,-20.655652545672638,-9.395203839174002
BTC,Bitcoin,EUR,Euro,20257.21201500,2020-12-26 05:40:01,UTC,20257.20383000,20257.21201500,20278.45492641583,20303.607383216182,-25.1524568003515,-12.546654431409502
BTC,Bitcoin,EUR,Euro,20261.71376500,2020-12-26 05:45:03,UTC,20261.70558000,20261.71376500,20275.18678619801,20300.17068927424,-24.98390307623049,-15.034104160373701
BTC,Bitcoin,EUR,Euro,20282.06986000,2020-12-26 05:50:03,UTC,20282.06167500,20282.06986000,20273.11401370601,20297.32202821689,-24.208014510881185,-16.868886230475198
BTC,Bitcoin,EUR,Euro,20252.84122500,2020-12-26 05:55:02,UTC,20252.83304000,20252.84122500,20274.491836212776,20296.192237978605,-21.700401765829156,-17.83518933754599
BTC,Bitcoin,EUR,Euro,20219.29091000,2020-12-26 06:00:04,UTC,20219.29091000,20219.29909500,20271.16097294927,20292.98105183204,-21.82007888277076,-18.632167246590946
BTC,Bitcoin,EUR,Euro,20251.80991500,2020-12-26 06:05:03,UTC,20251.80173000,20251.80991500,20263.180963264767,20287.52252280745,-24.341559542681352,-19.77404570580903
BTC,Bitcoin,EUR,Euro,20263.71090500,2020-12-26 06:10:01,UTC,20262.78600000,20262.79418500,20261.431571224035,20284.87714445134,-23.44557322730543,-20.508351210108312
BTC,Bitcoin,EUR,Euro,20251.15511500,2020-12-26 06:15:03,UTC,20251.15511500,20251.16330000,20261.7822379588,20283.309274862353,-21.52703690355338,-20.712088348797327
BTC,Bitcoin,EUR,Euro,20298.30890000,2020-12-26 06:20:02,UTC,20298.30890000,20298.31708500,20260.14729596514,20280.92748524292,-20.780189277778845,-20.725708534593632
BTC,Bitcoin,EUR,Euro,20284.03426000,2020-12-26 06:25:02,UTC,20284.02607500,20284.03426000,20266.018311970503,20282.21499744715,-16.196685476646962,-19.8199039230043
BTC,Bitcoin,EUR,Euro,20253.07040500,2020-12-26 06:30:02,UTC,20253.07040500,20253.07859000,20268.789996282736,20282.34975763625,-13.55976135351375,-18.56787540910619
BTC,Bitcoin,EUR,Euro,20236.91321500,2020-12-26 06:35:02,UTC,20236.90503000,20236.91321500,20266.371597623853,20280.180916700232,-13.809319076379325,-17.61616414256082
BTC,Bitcoin,EUR,Euro,20280.57200500,2020-12-26 06:40:03,UTC,20280.57200500,20280.58019000,20261.839538758646,20276.975901759473,-15.13636300082726,-17.12020391421411
