From_Currency_Code,From_Currency_Name,To_Currency_Code,To_Currency_Name,Exchange_Rate,Last_Refreshed,Time_Zone,Bid_Price,Ask_Price
BTC,Bitcoin,EUR,Euro,18476.89200000,2020-12-22 01:05:03,UTC,18475.52727600,18476.89200000
BTC,Bitcoin,EUR,Euro,18528.25919400,2020-12-22 01:10:01,UTC,18528.25919400,18528.26736800
BTC,Bitcoin,EUR,Euro,18455.79668400,2020-12-22 01:15:03,UTC,18455.78851000,18455.79668400
BTC,Bitcoin,EUR,Euro,18495.34448500,2020-12-22 01:20:03,UTC,18495.34448500,18495.35265600
BTC,Bitcoin,EUR,Euro,18458.14021700,2020-12-22 01:25:06,UTC,18458.14021700,18458.14839000
BTC,Bitcoin,EUR,Euro,18466.25323200,2020-12-22 01:30:01,UTC,18466.24506300,18466.25323200
BTC,Bitcoin,EUR,Euro,18494.12249800,2020-12-22 01:35:06,UTC,18494.12249800,18494.13066500
BTC,Bitcoin,EUR,Euro,18548.79099600,2020-12-22 01:40:06,UTC,18548.78282500,18548.79099600
BTC,Bitcoin,EUR,Euro,18591.10387200,2020-12-22 01:45:04,UTC,18591.10387200,18591.11204400
BTC,Bitcoin,EUR,Euro,18651.88935500,2020-12-22 01:50:01,UTC,18651.88935500,18651.89752800
BTC,Bitcoin,EUR,Euro,18607.76658000,2020-12-22 01:55:03,UTC,18607.76658000,18610.10377200
BTC,Bitcoin,EUR,Euro,18613.19837300,2020-12-22 02:00:03,UTC,18613.19020000,18613.19837300
BTC,Bitcoin,EUR,Euro,18627.84438900,2020-12-22 02:05:03,UTC,18627.84438900,18627.85256200
BTC,Bitcoin,EUR,Euro,18669.73101400,2020-12-22 02:10:01,UTC,18669.73101400,18669.73918700
BTC,Bitcoin,EUR,Euro,18684.02559100,2020-12-22 02:15:04,UTC,18684.47510600,18684.48327900
BTC,Bitcoin,EUR,Euro,18680.26601100,2020-12-22 02:20:03,UTC,18680.25783800,18680.26601100
BTC,Bitcoin,EUR,Euro,18707.44940900,2020-12-22 02:25:03,UTC,18707.44123600,18707.44940900
BTC,Bitcoin,EUR,Euro,18647.92156800,2020-12-22 02:30:01,UTC,18647.91339700,18647.92156800
BTC,Bitcoin,EUR,Euro,18680.12146800,2020-12-22 02:35:03,UTC,18680.12146800,18680.12964000
BTC,Bitcoin,EUR,Euro,18697.97711400,2020-12-22 02:40:06,UTC,18697.97711400,18697.98528500
BTC,Bitcoin,EUR,Euro,18722.04382800,2020-12-22 02:45:04,UTC,18722.03565600,18722.04382800
BTC,Bitcoin,EUR,Euro,18699.35835600,2020-12-22 02:50:01,UTC,18699.35018400,18699.35835600
BTC,Bitcoin,EUR,Euro,18713.90463600,2020-12-22 02:55:06,UTC,18714.06801600,18714.07618500
BTC,Bitcoin,EUR,Euro,18770.04641600,2020-12-22 03:00:03,UTC,18767.61903500,18767.62720800
BTC,Bitcoin,EUR,Euro,18699.41535000,2020-12-22 03:05:04,UTC,18699.41535000,18699.42352300
BTC,Bitcoin,EUR,Euro,18682.93430300,2020-12-22 03:10:01,UTC,18682.92613200,18682.93430300
BTC,Bitcoin,EUR,Euro,18714.74900400,2020-12-22 03:15:03,UTC,18714.74900400,18714.93700600
BTC,Bitcoin,EUR,Euro,18653.92025900,2020-12-22 03:20:03,UTC,18653.92025900,18653.92843600
BTC,Bitcoin,EUR,Euro,18649.92900000,2020-12-22 03:25:04,UTC,18649.92082200,18649.92900000
BTC,Bitcoin,EUR,Euro,18672.51475700,2020-12-22 03:30:01,UTC,18672.51475700,18672.52293400
BTC,Bitcoin,EUR,Euro,18652.66860000,2020-12-22 03:35:03,UTC,18652.66860000,18652.67677500
BTC,Bitcoin,EUR,Euro,18607.64393600,2020-12-22 03:40:03,UTC,18607.64393600,18607.65211200
BTC,Bitcoin,EUR,Euro,18676.24530000,2020-12-22 03:45:03,UTC,18676.23712500,18676.24530000
BTC,Bitcoin,EUR,Euro,18736.24980000,2020-12-22 03:50:01,UTC,18736.24162500,18736.24980000
BTC,Bitcoin,EUR,Euro,18709.37857500,2020-12-22 03:55:03,UTC,18709.37857500,18709.38675000
